bne.n,vldr,beq.n,lsrs,sub,mla,vmov.f64,mov,ldr,movw,add.w,bl,eor.w,and.w
adds,vadd.f64,vsub.f64,lsls,ldrh.w,lsrs,vmrs,mov,vcmp.f64,movt,sub.w,push,eor.w,orr.w
pop,vsub.f64,vabs.f64,orrs.w,ldrb.w,uxth,bgt.n,bge.n,push,vmov.f32,vmov,movw,adds,and.w
subs,vsub.f64,vcmpe.f64,it,bgt.n,mov.w,vmov,adds,vpush,push,vadd.f64,movt,adc.w,orr.w
mov,vstmia,vmov.f64,bne.n,ldr,mov.w,adds,mov,ldr,sub,vldr,movw,adds,orr.w
cmp,cmp,vmrs,cbnz,subs,mla,cmp,adc.w,vmov.f64,bic.w,vsub.f64,movw,adcs,ldmia.w
bne.n,vadd.f64,bgt.n,cmp,str,mov.w,vcvt.f64.s32,cmp,vmrs,cmp,vadd.f64,movs,cmp.w,mov
adds,bne.n,vmov,it,ldr,mov,vmul.f64,sbcs.w,add,ble.n,vldr,ldr,bne.n,ubfx
pop,vldr,adds,bne.n,str,add.w,vdiv.f64,mov,bls.n,cmp.w,vsub.f64,ldr,eor.w,bl
subs,vadd.f64,adds,rsbsne,ldr,orr.w,vadd.f64,mov,vmov.f64,blt.n,vadd.f64,uxth,movs,lsrs
mov,vsub.f64,vmov,it,str,ldr,beq.n,mov,vpop,beq.n,vadd.f64,lsrs,adds,lsrs
cmp,vsub.f64,adds,movcc,ldr,strb,vsub.f64,bge.n,ldmia.w,vsub.f32,vadd.f64,uxth,mov,stmdb
bne.n,vstmia,vmov,b.n,str,lsrs,vabs.f64,adds,b.w,add,vadd.f64,lsrs,eor.w,lsrs
adds,cmp,adds,pop,ldr,orr.w,vcmpe.f64,mov,vmov,pop,vsub.f64,mla,eor.w,and.w
pop,vadd.f64,vmov,bx,str,strb.w,vmov.f64,adc.w,push,vsub.f32,vsub.f64,mla,eor.w,and.w
subs,bne.n,adds,vabs.f64,str,ldr.w,vmrs,cmp,vpush,vmul.f32,vadd.f64,uxth.w,eor.w,and.w
mov,vldr,vcvt.f64.s32,cmp,str,mov,bgt.n,sbcs.w,vmov.f64,vmov.f32,vsub.f64,lsrs,adds,eor.w
cmp,vadd.f64,vmov,ble.w,bl,lsrs,vmov,mov,subw,blx,vldmia,add.w,adc.w,and.w
bne.n,vsub.f64,adds,beq.n,push,orr.w,adds,mov,cmp.w,add,vmul.f64,mla,adds,eor.w
adds,vsub.f64,vmov,cmp,cmp,strb.w,cmp,mov,mov,add,vmul.f64,uxth,adcs,and.w
pop,vstmia,mov,beq.n,sub,lsrs,vcvt.f64.s32,bge.n,blt.w,ldr,vstmia,lsrs,cmp.w,and.w
subs,cmp,vmov,vldr,ldrh.w,ldr.w,vmul.f64,adds,movw,vmov,cmp,mla,bne.n,mov.w
mov,vadd.f64,adds,vldr,ldrb.w,orr.w,vdiv.f64,mov,movt,movw,vmul.f64,mov,eor.w,and.w
cmp,bne.n,adds,b.n,bgt.n,ldr,vadd.f64,adc.w,cmp,movt,bne.n,str,movs,orr.w
bne.n,vldr,vmov,vmov.f64,ldr,strb,beq.n,cmp,it,vmov.f32,vldmia,add.w,adds,eor.w
adds,vldmdb,cmp,vmov.f64,subs,lsrs,vsub.f64,sbcs.w,bgt.w,push,vmul.f64,orr.w,mov,and.w
pop,cmp,vdiv.f64,add,str,orr.w,vabs.f64,mov,movgt,sub,vmul.f64,str,eor.w,and.w
subs,vadd.f64,vcvt.f64.s32,vpop,ldr,strb.w,vcmpe.f64,mov,ldr.w,bic.w,vstmia,mov,eor.w,eor.w
mov,bne.n,vdiv.f64,pop,str,ldr.w,vmov.f64,mov,add,cmp,cmp,pop,eor.w,eor.w
cmp,vldmdb,vcvt.f64.s32,vldr,ldr,lsrs,vmrs,bge.n,vldr,ble.n,vmul.f64,bl,eor.w,and.w
bne.n,cmp,vdiv.f64,vldr,str,lsrs,bgt.n,adds,vsub.f64,cmp.w,bne.n,orrs.w,adds,eors
adds,vadd.f64,vcvt.f64.s32,bl,ldr,lsrs,vmov,mov,vcmpe.f64,blt.n,vldmia,it,adc.w,eors
pop,bne.n,vdiv.f64,vabs.f64,str,strb.w,adds,adc.w,vmrs,beq.n,vmul.f64,push,adds,orr.w
subs,vldmdb,vcvt.f64.s32,vabs.f64,ldr,ldr,cmp,cmp,it,vsub.f32,vmul.f64,moveq.w,adcs,and.w
mov,cmp,vdiv.f64,vcmpe.f64,str,ldr.w,vcvt.f64.s32,sbcs.w,bmi.n,add,vstmia,b.n,cmp.w,eor.w
cmp,vadd.f64,vcvt.f64.s32,vmrs,str,strb,vmul.f64,mov,vmovmi.f64,pop,cmp,mov.w,bne.n,eor.w
bne.n,bne.n,vdiv.f64,bpl.n,str,strb.w,vdiv.f64,mov,ldr.w,subs,vmul.f64,add.w,eor.w,orr.w
adds,vldmdb,vcvt.f64.s32,vdiv.f64,bl,add.w,vadd.f64,mov,add,vdiv.f32,bne.n,movs.w,movs,eors
pop,cmp,vdiv.f64,vmov.f64,push,cmp.w,beq.n,bge.n,vldr,bne.n,vldmia,beq.w,adds,and.w
subs,vadd.f64,vcvt.f64.s32,vmov.f64,cmp,bne.n,vsub.f64,adds,vcmpe.f64,vadd.f32,vmul.f64,mov.w,mov,orr.w
mov,bne.n,vadd.f64,vmov.f64,sub,uxth,vabs.f64,mov,vmrs,add,vmul.f64,movs.w,eor.w,and.w
cmp,vldmdb,vdiv.f64,vmla.f64,ldrh.w,lsrs,vcmpe.f64,adc.w,ble.w,eors,vstmia,it,eor.w,orr.w
bne.n,cmp,vsub.f64,vmla.f64,ldrb.w,uxth,vmov.f64,cmp,ubfx,movw,cmp,addne,eor.w,orr.w
adds,vadd.f64,vadd.f64,vmls.f64,bgt.n,lsrs,vmrs,sbcs.w,asrs,lsrs,vmul.f64,movs.w,eor.w,ldmia.w
pop,bne.n,vsub.f64,vdiv.f64,ldr,mla,bgt.n,mov,orr.w,movt,bne.n,it,adds,mov
subs,vldmdb,vadd.f64,vdiv.f64,subs,mov.w,bx,mov,subw,rsb,vldmia,addne,adc.w,ubfx
mov,cmp,vsub.f64,b.n,str,mla,ldrd,mov,orr.w,eor.w,vmul.f64,add.w,adds,bl
cmp,vadd.f64,vadd.f64,vcmp.f64,ldr,ldr.w,ldrb.w,bge.n,adds,mvns,vmul.f64,rsb,adcs,lsrs
bne.n,bne.n,vsub.f64,vmrs,str,lsrs,adds,movw,ldr.w,add.w,vstmia,lsl.w,cmp.w,lsrs
adds,vldr,beq.n,bne.n,ldr,uxth,adc.w,movt,vmov,rsb,cmp,lsr.w,bne.n,stmdb
pop,vsub.f64,vsub.f64,vcmp.f64,str,add.w,strd,ldrd,add,adds,vmul.f64,lsl.w,eor.w,lsrs
subs,vldr,vabs.f64,vmrs,ldr,mla,cmp,movs,vldr,sub.w,bne.n,orr.w,movs,and.w
mov,vadd.f64,vcmpe.f64,beq.n,str,lsrs,beq.n,and.w,vcmpe.f64,umull,vldmia,lsr.w,adds,and.w
cmp,vldr,vmov.f64,vcmp.f64,ldr,uxth,orrs.w,orrs.w,vmrs,vmul.f32,vmul.f64,add,mov,and.w
bne.n,vadd.f64,vmrs,vmrs,str,mov.w,beq.n,beq.n,bgt.w,umull,vmul.f64,b.n,eor.w,eor.w
adds,vadd.f64,bgt.n,bne.n,str,mov.w,cmp,add,ldr.w,lsrs,vstmia,cmp.w,eor.w,and.w
pop,vldr,vmov,vsub.f64,str,mla,it,pop,vmov.f64,lsls,cmp,bcc.n,eor.w,eor.w
subs,vsub.f64,adds,vcmp.f64,bl,mov.w,cmpeq,ldrd,ldr.w,orr.w,vmul.f64,cmp.w,eor.w,and.w
mov,vldr,adds,vmrs,push,mov,bcc.n,ldrb.w,add,mov.w,bne.n,bcc.n,adds,and.w
cmp,vadd.f64,vmov,ite,cmp,add.w,mov,adds,vldr,mov.w,vldr,lsrs,adc.w,mov.w
bne.n,vldr,adds,movne,sub,orr.w,blx,adc.w,add,orr.w,vldr,movs.w,adds,and.w
adds,vadd.f64,vmov,cmp,ldrh.w,ldr,vmov.f64,strd,ldr.w,vsub.f32,vadd.f64,mov.w,adcs,orr.w
pop,vadd.f64,adds,bne.w,ldrb.w,strb,movs,cmp,vadd.f64,vdiv.f32,vsub.f64,add.w,cmp.w,eor.w
subs,vsub.f64,vmov,vcmp.f64,bgt.n,lsrs,vldr,beq.n,add.w,vdiv.f32,vsub.f64,mov.w,bne.n,and.w
mov,vadd.f64,adds,vmrs,ldr,orr.w,vmov.f64,orrs.w,vmov,vmov.f32,vstmia,cmn.w,eor.w,and.w
cmp,vadd.f64,vcvt.f64.s32,bne.w,subs,strb.w,vmov.f64,beq.n,add,vadd.f32,cmp,bcs.w,movs,eor.w
bne.n,vadd.f64,vmov,vsub.f64,str,ldr.w,vmov.f64,cmp,vmov,blx,vadd.f64,cmp.w,adds,eor.w
adds,vsub.f64,adds,vcmp.f64,ldr,mov,b.n,it,ldr.w,add,bne.n,it,mov,and.w
pop,vsub.f64,vmov,vmrs,str,lsrs,vsub.f64,cmpeq,vcvt.f64.s32,add,vldr,adcs.w,eor.w,eors
subs,vsub.f64,mov,bne.n,ldr,orr.w,vabs.f64,bcc.n,add,ldr,vadd.f64,adceq.w,eor.w,eors
mov,vcmpe.f64,vmov,vcmp.f64,str,strb.w,vcmpe.f64,mov,vldr,vmov,vsub.f64,orr.w,eor.w,orr.w
cmp,vadd.f64,adds,vmrs,ldr,lsrs,vmov.f64,blx,ldr.w,movw,vsub.f64,pop,eor.w,and.w
bne.n,vmrs,adds,bne.n,str,ldr.w,vmrs,push,add,movt,vstmia,subs,adds,eor.w
adds,vadd.f64,vmov,vsub.f64,ldr,orr.w,bgt.n,sub,vldr,vmov.f32,cmp,vmov,adc.w,eor.w
pop,vadd.f64,cmp,vcmp.f64,str,ldr,vmov,movs,ldr.w,push,vadd.f64,strd,adds,orr.w
subs,it,vdiv.f64,vmrs,str,strb,adds,movs,vstr,sub,bne.n,vadd.f64,adcs,eors
mov,ble.n,vcvt.f64.s32,bne.n,str,lsrs,cmp,movs,add,bic.w,vldr,bne.n,cmp.w,and.w
cmp,vmovle.f64,vdiv.f64,vsub.f64,bl,orr.w,vcvt.f64.s32,movs,vldr,cmp,vadd.f64,bl,bne.n,orr.w
bne.n,vcmpe.f64,vcvt.f64.s32,vcmp.f64,push,strb.w,vmul.f64,adds,ldr.w,ble.n,vsub.f64,push,eor.w,and.w
adds,vmrs,vdiv.f64,vmrs,cmp,ldr.w,vdiv.f64,mov,vmov.f64,cmp.w,vsub.f64,movw,movs,orr.w
pop,it,vcvt.f64.s32,beq.n,sub,lsrs,vadd.f64,adc.w,vstr,blt.n,vstmia,movt,adds,orr.w
subs,vnegle.f64,vdiv.f64,vmov.f64,ldrh.w,lsrs,beq.n,cmp,vldr,beq.n,cmp,movw,mov,ldmia.w
mov,ble.n,vcvt.f64.s32,vmov.f64,ldrb.w,lsrs,vsub.f64,sbcs.w,add,vsub.f32,vadd.f64,movw,eor.w,mov.w
cmp,vcmpe.f64,vdiv.f64,bx,bgt.n,strb.w,vabs.f64,mov,vldr,add,bne.n,movs,eor.w,orr.w
bne.n,vmov.f64,vcvt.f64.s32,movs,ldr,ldr,vcmpe.f64,mov,ldr.w,pop,vldr,ldr,eor.w,mov
adds,vmrs,vdiv.f64,movt,subs,ldr.w,vmov.f64,mov,ldr.w,vadd.f32,vldmdb,ldr,eor.w,and.w
pop,ite,vcvt.f64.s32,movs,str,strb,vmrs,bge.n,add,vmul.f32,cmp,uxth,adds,bl
subs,vsubgt.f64,vdiv.f64,subs,ldr,strb.w,bgt.n,adds,vldr,vadd.f32,vadd.f64,lsrs,adc.w,lsrs
mov,vcmpe.f64,vcvt.f64.s32,vmov,str,add.w,vmov,mov,add,bl,bne.n,uxth,adds,lsrs
cmp,vaddle.f64,vadd.f64,vsub.f64,ldr,cmp.w,adds,adc.w,addw,movw,vldmdb,lsrs,adcs,stmdb
bne.n,vmrs,vdiv.f64,vmov.f64,str,bne.n,cmp,cmp,ubfx,movt,cmp,mla,cmp.w,lsrs
adds,bgt.n,vsub.f64,vmov.f64,ldr,uxth,vcvt.f64.s32,sbcs.w,sub.w,push,vadd.f64,mla,bne.n,and.w
pop,vmov.f64,vadd.f64,bne.w,str,lsrs,vmul.f64,mov,add.w,movw,bne.n,uxth.w,eor.w,and.w
subs,vcmpe.f64,vsub.f64,vadd.f64,ldr,uxth,vdiv.f64,mov,vldr,ldmia.w,vldmdb,lsrs,movs,and.w
mov,vmrs,vadd.f64,vadd.f64,str,lsrs,vadd.f64,mov,vmla.f64,movw,cmp,add.w,adds,eor.w
cmp,bpl.n,vsub.f64,vmov.f64,str,mla,beq.n,bge.n,add.w,uxth,vadd.f64,mla,mov,and.w
bne.n,vadd.f64,vadd.f64,vmov.f64,str,mov.w,vsub.f64,adds,vmov,lsrs,bne.n,uxth,eor.w,eor.w
adds,vldr,vsub.f64,bl,bl,mla,vabs.f64,mov,vldr,uxth,vldmdb,lsrs,eor.w,and.w
pop,ldr,beq.n,vmov.f64,push,ldr.w,vcmpe.f64,adc.w,vldr,lsrs,cmp,mla,eor.w,and.w
subs,add,vsub.f64,vpush,cmp,lsrs,vmov.f64,cmp,vmov,mla,vadd.f64,mov,eor.w,mov.w
mov,vldr,vabs.f64,vmul.f64,sub,uxth,vmrs,sbcs.w,vcvt.f64.s32,mla,bne.n,str,adds,and.w
